Date,Original Test Data,Predicted Prices,Original_Smooth,Predicted_Smooth,Close,Close_Smooth
2021-08-24,141.3384246826172,140.08994,,,141.3384246826172,
2021-08-25,141.8858184814453,140.4487,,,141.8858184814453,
2021-08-26,141.06500244140625,140.91245,,,141.06500244140625,
2021-08-27,143.47442626953125,141.3846,,,143.47442626953125,
2021-08-30,144.38658142089844,141.9607,,,144.38658142089844,
2021-08-31,144.37911987304688,142.61914,,,144.37911987304688,
2021-09-01,144.75628662109375,143.3006,,,144.75628662109375,
2021-09-02,143.14537048339844,143.98538,,,143.14537048339844,
2021-09-03,143.69723510742188,144.5625,,,143.69723510742188,
2021-09-07,144.43569946289062,145.07275,,,144.43569946289062,
2021-09-08,143.804931640625,145.55003,,,143.804931640625,
2021-09-09,143.83473205566406,145.9513,,,143.83473205566406,
2021-09-10,140.864501953125,146.2867,,,140.864501953125,
2021-09-13,142.39700317382812,146.41855,,,142.39700317382812,
2021-09-14,142.3384246826172,146.49055,,,142.3384246826172,
2021-09-15,144.12501525878906,146.51265,,,144.12501525878906,
2021-09-16,143.29873657226562,146.58739,,,143.29873657226562,
2021-09-17,140.410400390625,146.6493,,,140.410400390625,
2021-09-20,137.98211669921875,146.56158,,,137.98211669921875,
2021-09-21,138.60691833496094,146.26733,,,138.60691833496094,
2021-09-22,139.88929748535156,145.88501,,,139.88929748535156,
2021-09-23,140.77069091796875,145.52177,,,140.77069091796875,
2021-09-24,141.57118225097656,145.2272,,,141.57118225097656,
2021-09-27,140.44760131835938,145.02846,,,140.44760131835938,
2021-09-28,135.1702117919922,144.84613,,,135.1702117919922,
2021-09-29,133.51956176757812,144.42946,,,133.51956176757812,
2021-09-30,132.27342224121094,143.80806,,,132.27342224121094,
2021-10-01,135.44662475585938,143.02127,,,135.44662475585938,
2021-10-04,132.7692108154297,142.3163,,,132.7692108154297,
2021-10-05,135.1632537841797,141.55934,140.5749267578125,144.30850474039713,135.1632537841797,140.5749267578125
2021-10-06,136.33151245117188,140.9242,140.40802968343098,144.33631337483723,136.33151245117188,140.40802968343098
2021-10-07,138.14935302734375,140.44984,140.28348083496093,144.3363515218099,138.14935302734375,140.28348083496093
2021-10-08,139.01339721679688,140.18974,140.21509399414063,144.31226145426433,139.01339721679688,140.21509399414063
2021-10-11,137.8138885498047,140.12228,140.0264094034831,144.2701843261719,137.8138885498047,140.0264094034831
2021-10-12,135.6952667236328,140.12646,139.73669891357423,144.20904337565105,135.6952667236328,139.73669891357423
2021-10-13,136.87342834472656,140.07848,139.48650919596355,144.12435455322264,136.87342834472656,139.48650919596355
2021-10-14,140.3592987060547,140.06038,139.3399429321289,144.01634724934897,140.3592987060547,139.3399429321289
2021-10-15,140.6203155517578,140.22969,139.25577443440756,143.8911575317383,140.6203155517578,139.25577443440756
